country,node,bus,profile_type,name,total_load,carrier,year
YZ,YZ_NR,YZ_NR_TRAN-PUB,HPV_LOAD,YZ_NR_TRAN-PUB_HPV_LOAD,4490000,Electricity,2040
YZ,YZ_NR,YZ_NR_TRAN-PUB,HPV_LOAD,YZ_NR_TRAN-PUB_HPV_LOAD,7220000,Electricity,2045
YZ,YZ_NR,YZ_NR_TRAN-PUB,HPV_LOAD,YZ_NR_TRAN-PUB_HPV_LOAD,8730000,Electricity,2050
YZ,YZ_SO,YZ_SO_TRAN-PRV,LPV_LOAD,YZ_SO_TRAN-PRV_LPV_LOAD,140000,Electricity,2025
YZ,YZ_SO,YZ_SO_TRAN-PRV,LPV_LOAD,YZ_SO_TRAN-PRV_LPV_LOAD,490000,Electricity,2030
YZ,YZ_SO,YZ_SO_TRAN-PRV,LPV_LOAD,YZ_SO_TRAN-PRV_LPV_LOAD,1260000,Electricity,2035
YZ,YZ_SO,YZ_SO_TRAN-PRV,LPV_LOAD,YZ_SO_TRAN-PRV_LPV_LOAD,2230000,Electricity,2040
YZ,YZ_SO,YZ_SO_TRAN-PRV,LPV_LOAD,YZ_SO_TRAN-PRV_LPV_LOAD,2890000,Electricity,2045
YZ,YZ_SO,YZ_SO_TRAN-PRV,LPV_LOAD,YZ_SO_TRAN-PRV_LPV_LOAD,3320000,Electricity,2050
YZ,YZ_SO,YZ_SO_TRAN-PUB,HPV_LOAD,YZ_SO_TRAN-PUB_HPV_LOAD,0,Electricity,2025
YZ,YZ_SO,YZ_SO_TRAN-PUB,HPV_LOAD,YZ_SO_TRAN-PUB_HPV_LOAD,220000,Electricity,2030
YZ,YZ_SO,YZ_SO_TRAN-PUB,HPV_LOAD,YZ_SO_TRAN-PUB_HPV_LOAD,1050000,Electricity,2035
YZ,YZ_SO,YZ_SO_TRAN-PUB,HPV_LOAD,YZ_SO_TRAN-PUB_HPV_LOAD,2450000,Electricity,2040
YZ,YZ_SO,YZ_SO_TRAN-PUB,HPV_LOAD,YZ_SO_TRAN-PUB_HPV_LOAD,3940000,Electricity,2045
YZ,YZ_SO,YZ_SO_TRAN-PUB,HPV_LOAD,YZ_SO_TRAN-PUB_HPV_LOAD,4750000,Electricity,2050
