powerplant_type,cap__usd_mw,fom__usd_mwa,vom__usd_mwh,life__years,country,year,source
METH,376830,13000,0,30,,2045,Example
METH,278780,9000,0,30,,2050,Example
NUCL,6798000,130000,8,25,,2025,Example
NUCL,6798000,130000,8,25,,2030,Example
NUCL,6798000,125000,8.5,25,,2035,Example
NUCL,6798000,120000,8.5,25,,2040,Example
NUCL,6798000,120000,9,25,,2045,Example
NUCL,6798000,115000,9,25,,2050,Example
OCGT,850000,17000,2,25,,2025,Example
OCGT,790000,17000,2,25,,2030,Example
OCGT,765000,17000,2,25,,2035,Example
OCGT,730000,17000,2,25,,2040,Example
OCGT,700000,17000,2,25,,2045,Example
OCGT,680000,17000,2,25,,2050,Example
OCHT,650000,39000,2,30,,2025,Example
OCHT,640000,38000,2,30,,2030,Example
OCHT,640000,35000,2,30,,2035,Example
OCHT,640000,35000,2,30,,2040,Example
OCHT,620000,34000,2,30,,2045,Example
OCHT,610000,33000,2,30,,2050,Example
OILT,800000,8000,6,25,,2025,Example
OILT,800000,8000,6,25,,2030,Example
OILT,800000,8000,6,25,,2035,Example
OILT,800000,8000,6,25,,2040,Example
OILT,790000,7800,6,25,,2045,Example
OILT,780000,7700,6,25,,2050,Example
PEVCH,0,0,0,10,,2025,Example
PEVCH,0,0,0,10,,2030,Example
PEVCH,0,0,0,10,,2035,Example
PEVCH,0,0,0,10,,2040,Example
PEVCH,0,0,0,10,,2045,Example
PEVCH,0,0,0,10,,2050,Example
PHOT,800000,12000,0,30,,2025,Example
PHOT,650000,10000,0,30,,2030,Example
PHOT,650000,10000,0,30,,2035,Example
PHOT,650000,10000,0,30,,2040,Example
PHOT,550000,9000,0,30,,2045,Example
PHOT,450000,8000,0,30,,2050,Example
RTPV,1100000,13000,0.5,30,,2025,Example
RTPV,995000,12000,0.5,30,,2030,Example
RTPV,855000,10000,0.5,30,,2035,Example
RTPV,770000,9900,0.5,30,,2040,Example
RTPV,710000,9000,0.5,30,,2045,Example
RTPV,650000,8000,0.5,30,,2050,Example
SubC,1150000,38000,0,30,,2025,Example
SubC,1200000,38000,0,30,,2030,Example
SubC,1200000,38000,0,30,,2035,Example
SubC,1200000,38000,0,30,,2040,Example
SubC,1190000,37000,0,30,,2045,Example
SubC,1180000,37000,0,30,,2050,Example
SupC,1500000,39000,0.1133,30,,2025,Example
SupC,1500000,39000,0.1133,30,,2030,Example
SupC,1500000,39000,0.1133,30,,2035,Example
SupC,1500000,39000,0.1133,30,,2040,Example
SupC,1500000,39000,0.1133,30,,2045,Example
SupC,1400000,38000,0.1133,30,,2050,Example
SWHT,1350000,16500,0,20,,2025,Example
SWHT,1300000,16500,0,20,,2030,Example
SWHT,1250000,16500,0,20,,2035,Example
SWHT,1100000,16500,0,20,,2040,Example
SWHT,1000000,16500,0,20,,2045,Example
SWHT,970000,16500,0,20,,2050,Example
WSTT,2480000,50000,6,25,,2025,Example
WSTT,2480000,50000,6,25,,2030,Example
WSTT,2480000,50000,6,25,,2035,Example
WSTT,2480000,50000,6,25,,2040,Example
WSTT,2480000,50000,6,25,,2045,Example
WSTT,2480000,50000,6,25,,2050,Example
WTOF,2650000,56000,4,30,,2025,Example
WTOF,2150000,42000,4,30,,2030,Example
WTOF,2150000,42000,4,30,,2035,Example
WTOF,2150000,42000,4,30,,2040,Example
WTOF,1900000,40500,3,30,,2045,Example
WTOF,1700000,39000,3,30,,2050,Example
WTON,1390000,40000,3,30,,2025,Example
WTON,1280000,38000,3,30,,2030,Example
WTON,1280000,36000,3,30,,2035,Example
WTON,1280000,36000,3,30,,2040,Example
WTON,1180000,30000,3,30,,2045,Example
WTON,1080000,28000,2,30,,2050,Example
